,Hexactinellid (3),Hertwigia sp. MD-2008,Vulcanella aberrans (1),Stelletta tuberosa (2),Euplectella sp. HBOI,Desmacella hyalina,Farrea sp. USNM 1122183,Desmacella cf. annexa (1),Geodia barretti,Desmacella cf. annexa (2),Aspidoscopulia ospreya,Aphrocallistes beatrix (1),Vulcanella aberrans (2),Aphrocallistes beatrix (2),Phorbas bihamiger,Hexactinellid (4),Hexactinellid (1),Trachycladus sp. NCI325,Rhabderemia sp. 1 RAD-2021,Stelletta tuberosa (1),Geodia megastrella,Hexactinellid (2),Polymastia corticata
Thermosulfidibacterota,0,0.000838912,0.02043378,0,0.020607764,0,0,0.000733937,0,0,0.006043483,0,0.001234004,0,0,0.00362145,0.00068589,0.00226557,0,0,0,0,0
Bacteroidota,0.263063708,0.744115032,0.886436835,0.200399859,2.089215133,0.054086584,0.383958908,0.759991633,0.829084898,2.216918442,0.571612754,0.0200111,6.353476396,0.320666941,1.053463804,1.945020356,0.030179154,0.507110114,0.3127964,1.151800437,6.391329423,0.581873891,4.060810578
Spirochaetota,0.010021475,0.012024407,0,0.199929437,0.083255367,0,0.526462422,0.002201811,0.083383924,0.039662383,0.006547106,0.072493043,0.05553019,0.126007334,0,0.115886395,0.00068589,0.00151038,0.913365487,0.783158173,0.12733224,0.067084398,0.025481216
SAR324,0,0.034954671,0.691829407,0,0.097680802,0.055991041,0.004163024,0.54237935,0,0.034095732,0.019137696,0,4.967278321,0.001738032,0.053395953,0.0024143,0,0.264316515,0,0,0,0,0
Thermoproteota,75.9305655,89.96381492,55.47544216,43.65847348,45.79581003,71.91116088,70.77140835,25.21146556,63.40835448,20.12344047,35.23753406,63.51372271,52.83306802,67.52805474,24.33557439,36.52383065,97.41876778,47.94852625,39.25049947,30.16378131,35.76013602,33.14159566,43.6968424
Halobacteriota,0,0,0.002594766,0,0,0,0,0.001834842,0,0,0.011079719,0,0.010694703,0,0,0,0,0.00151038,0,0,0,0,0
Thermoplasmatota,0,0.038310319,0.147252954,0,0.019783454,0,0,0.006605432,0,0.001739578,0.012590589,0,0.413391414,0,0,0.000905362,0,0.013971016,0,0,0,0,0
Patescibacteria,0.020400859,0.005033473,0.00227042,0.688227684,0.001236466,0,0.00736535,0.000733937,0,0.066799802,0.016115954,0,0.001234004,0,0,0,0.002743559,0.00226557,0.051258249,0,0,0.006185086,0.103990909
Nanoarchaeota,0.002863278,0.022370989,0.060003957,0,0.025965783,0,0,0.006238463,0,1.564228706,0.064967441,0,0.045246821,0.000869016,0,0.009958987,0.00091452,0.0075519,0.099287631,0,0,0,0.128783444
Bdellovibrionota,0.035433071,0.068231517,0.085302923,0.080442197,0.11622779,0,0.133857234,0.012843895,0.050834936,1.108111305,0.083601513,0.000755136,0.093372986,0.001158688,0.001180021,0.039534161,0.0022863,0.012838231,1.60999334,0.064471069,0.005243092,0.062088751,0.131882511
